LABEL,COUNT
1.1.1.1,700
1.1.1.10,26
1.1.1.100,700
1.1.1.102,28
1.1.1.103,700
1.1.1.105,19
1.1.1.107,37
1.1.1.108,700
1.1.1.11,151
1.1.1.119,16
1.1.1.12,19
1.1.1.122,18
1.1.1.127,700
1.1.1.130,423
1.1.1.132,700
1.1.1.133,700
1.1.1.136,227
1.1.1.138,21
1.1.1.14,700
1.1.1.140,553
1.1.1.141,7
1.1.1.145,34
1.1.1.146,14
1.1.1.153,8
1.1.1.156,14
1.1.1.157,700
1.1.1.159,133
1.1.1.16,105
1.1.1.163,18
1.1.1.169,700
1.1.1.17,700
1.1.1.170,15
1.1.1.173,22
1.1.1.175,28
1.1.1.179,127
1.1.1.18,700
1.1.1.184,39
1.1.1.189,9
1.1.1.192,43
1.1.1.193,700
1.1.1.194,119
1.1.1.195,104
1.1.1.2,700
1.1.1.200,11
1.1.1.202,104
1.1.1.203,111
1.1.1.205,700
1.1.1.206,13
1.1.1.209,10
1.1.1.21,18
1.1.1.215,218
1.1.1.216,31
1.1.1.218,37
1.1.1.219,82
1.1.1.22,700
1.1.1.223,21
1.1.1.23,700
1.1.1.234,10
1.1.1.237,144
1.1.1.239,11
1.1.1.24,10
1.1.1.244,19
1.1.1.247,7
1.1.1.248,9
1.1.1.25,700
1.1.1.250,8
1.1.1.251,260
1.1.1.255,75
1.1.1.26,207
1.1.1.261,700
1.1.1.262,700
1.1.1.264,72
1.1.1.267,700
1.1.1.27,700
1.1.1.270,22
1.1.1.271,700
1.1.1.274,155
1.1.1.276,28
1.1.1.28,700
1.1.1.281,28
1.1.1.282,218
1.1.1.284,154
1.1.1.288,9
1.1.1.29,215
1.1.1.290,700
1.1.1.291,10
1.1.1.292,43
1.1.1.294,15
1.1.1.298,360
1.1.1.299,24
1.1.1.3,700
1.1.1.30,700
1.1.1.300,63
1.1.1.301,36
1.1.1.302,112
1.1.1.304,414
1.1.1.305,42
1.1.1.306,652
1.1.1.307,36
1.1.1.308,457
1.1.1.31,700
1.1.1.310,57
1.1.1.312,46
1.1.1.313,131
1.1.1.316,15
1.1.1.317,15
1.1.1.320,64
1.1.1.324,16
1.1.1.330,553
1.1.1.331,32
1.1.1.333,168
1.1.1.334,15
1.1.1.335,49
1.1.1.336,700
1.1.1.337,23
1.1.1.338,36
1.1.1.34,700
1.1.1.343,516
1.1.1.346,700
1.1.1.347,7
1.1.1.348,23
1.1.1.35,305
1.1.1.350,333
1.1.1.353,13
1.1.1.356,147
1.1.1.36,700
1.1.1.362,11
1.1.1.363,700
1.1.1.365,15
1.1.1.367,24
1.1.1.368,28
1.1.1.369,177
1.1.1.37,700
1.1.1.370,11
1.1.1.371,63
1.1.1.372,15
1.1.1.373,339
1.1.1.376,134
1.1.1.38,700
1.1.1.381,424
1.1.1.382,700
1.1.1.383,34
1.1.1.384,14
1.1.1.385,26
1.1.1.387,595
1.1.1.388,156
1.1.1.39,700
1.1.1.390,32
1.1.1.391,60
1.1.1.392,46
1.1.1.399,36
1.1.1.4,195
1.1.1.40,700
1.1.1.401,55
1.1.1.402,700
1.1.1.403,37
1.1.1.405,389
1.1.1.407,12
1.1.1.408,700
1.1.1.409,26
1.1.1.41,386
1.1.1.410,47
1.1.1.411,275
1.1.1.412,10
1.1.1.413,35
1.1.1.414,121
1.1.1.42,700
1.1.1.44,700
1.1.1.45,20
1.1.1.47,683
1.1.1.48,30
1.1.1.49,700
1.1.1.50,11
1.1.1.51,402
1.1.1.52,11
1.1.1.53,336
1.1.1.54,42
1.1.1.56,126
1.1.1.57,308
1.1.1.58,700
1.1.1.6,700
1.1.1.60,700
1.1.1.61,48
1.1.1.62,36
1.1.1.65,210
1.1.1.67,134
